Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.7676
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.9556
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,1.0000
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.9295
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5335
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.5927
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7495
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7189
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.4877
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.8030
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.6453
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.8719
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.9249
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.9845
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.9868
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.8477
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7226
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.8839
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.9333
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.7527
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.2931
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4019
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4894
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.3759
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.8917
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.9508
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.9980
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9961
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.9120
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.9300
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.9910
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9865
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6084
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.7266
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.8596
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9212
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.2590
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.7643
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.7433
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.4761
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.6917
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.9345
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.9709
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.9029
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.7077
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6774
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.7056
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6270
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.8012
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.8456
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.9961
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.6525
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.8019
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.9701
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.9776
